1,G,216-6-11,WIN,N,1-2,20008,70007,75113,16154,131,242
2,G,216-6-11,WIN,N,0-1,20002,70012,3385,16476,61,182
3,G,216-6-11,WIN,N,1-2,20001,70017,37831,16540,64,268
4,G,216-6-12,DRAW,N,1-1,20005,70011,62343,16128,0,185
5,G,216-6-12,WIN,N,0-1,20007,70006,43842,160084,125,325
6,G,216-6-12,WIN,N,1-0,20006,70014,33742,16291,2,246
7,G,216-6-13,WIN,N,2-0,20003,70002,4335,16176,89,188
8,G,216-6-13,WIN,N,1-0,20010,70009,29400,16429,360,182
9,G,216-6-13,DRAW,N,1-1,20008,70010,73419,16335,67,194
10,G,216-6-14,WIN,N,0-2,20004,70005,55408,16244,63,189
11,G,216-6-14,WIN,N,0-2,20001,70018,34424,16197,61,35
12,G,216-6-15,DRAW,N,1-1,20009,70004,38742,16320,15,284
13,G,216-6-15,WIN,N,2-1,20003,70001,38989,1645,62,189
14,G,216-6-15,DRAW,N,1-1,20007,70015,43576,16477,74,26
15,G,216-6-16,WIN,N,2-0,20005,70013,63670,16154,71,374
16,G,216-6-16,WIN,N,1-2,20002,70003,3433,16540,62,212
17,G,216-6-16,WIN,N,0-2,20004,70016,5143,16262,7,411
18,G,216-6-17,DRAW,N,0-0,20008,70008,73648,16165,6,208
19,G,216-6-17,WIN,N,1-0,20010,70007,29600,16248,2,264
20,G,216-6-17,DRAW,N,2-2,20009,70005,38376,160086,71,280
21,G,216-6-18,WIN,N,3-0,20006,70010,33409,16429,84,120
22,G,216-6-18,WIN,N,3-0,20001,70004,39493,16064,11,180
23,G,216-6-18,DRAW,N,1-1,20005,70015,60842,16230,61,280
24,G,216-6-19,DRAW,N,0-0,20007,70011,44291,16314,3,200
25,G,216-6-20,WIN,N,0-1,20004,70016,49752,16005,125,328
26,G,216-6-20,DRAW,N,0-0,20003,70001,45616,16463,60,122
27,G,216-6-21,WIN,N,0-3,20010,70006,28840,16544,62,119
28,G,216-6-21,DRAW,N,0-0,20009,70012,3951,16392,62,31
29,G,216-6-21,WIN,N,0-1,20005,70017,58874,16520,29,244
30,G,216-6-21,WIN,N,0-1,20007,70018,44125,16177,21,195
31,G,216-6-22,WIN,N,0-2,20002,70013,32836,1654,60,300
32,G,216-6-22,WIN,N,1-2,20001,70008,37245,160085,70,282
33,G,216-6-22,WIN,N,1-2,20008,70009,68714,16220,7,244
34,G,216-6-22,DRAW,N,3-3,20004,70002,55514,16322,70,185
35,G,216-6-23,WIN,N,0-1,20003,70014,44268,16333,79,221
36,G,216-6-23,WIN,N,0-1,20006,70003,3411,16062,63,195
37,R,216-6-25,WIN,P,1-1,20009,70005,38842,16476,126,243
38,R,216-6-25,WIN,N,1-0,20007,70002,44342,16547,5,245
39,R,216-6-26,WIN,N,0-1,20002,70012,33523,16316,61,198
40,R,216-6-26,WIN,N,1-2,20004,70011,56279,16160,238,23
41,R,216-6-26,WIN,N,3-0,20003,70009,44312,16173,62,124
42,R,216-6-27,WIN,N,0-4,20010,70010,28921,16062,3,133
43,R,216-6-27,WIN,N,2-0,20008,70004,76165,16235,63,243
44,R,216-6-28,WIN,N,2-1,20006,70001,3391,16217,5,199
45,Q,216-07-1,WIN,P,1-1,20005,70003,62940,16316,58,181
46,Q,216-07-2,WIN,N,1-3,20003,70001,45936,16550,14,182
47,Q,216-07-3,WIN,P,1-1,20001,70007,38764,16163,63,181
48,Q,216-07-4,WIN,N,2-5,20008,70008,76833,16159,16,125
49,S,216-07-07,WIN,N,2-0,20004,70006,55679,16322,2,181
50,S,216-07-08,WIN,N,2-0,20005,70011,64078,16160,126,275
51,F,216-07-11,WIN,N,1-0,20008,70005,75868,16307,161,181
